fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,type
7.4,0.61,0.01,2.0,74,13.0,38.0,99.748,3.48,0.65,red
6.6,0.61,0.01,1.9,0.08,8.0,25.0,99.746,3.69,0.73,red
8.8,0.3,0.38,2.3,0.06,19.0,72.0,99.543,3.39,0.72,red
8.8,0.3,0.38,2.3,0.06,19.0,72.0,99.543,3.39,0.72,red
12.0,0.63,0.5,1.4,71,6.0,26.0,99.791,03.07,0.6,red
7.2,0.38,0.38,2.8,68,23.0,42.0,99.356,3.34,0.72,red
6.2,0.46,0.17,1.6,73,7.0,11.0,99.425,3.61,0.54,red
9.6,0.33,0.52,2.2,74,13.0,25.0,99.509,3.36,0.76,red
9.9,0.27,0.49,5.0,82,9.0,17.0,99.484,3.19,0.52,red
10.1,0.43,0.4,2.6,92,13.0,52.0,99.834,3.22,0.64,red
9.8,0.5,0.34,2.3,94,10.0,45.0,99.864,3.24,0.6,red
8.3,0.3,0.49,3.8,0.09,11.0,24.0,99.498,3.27,0.64,red
10.2,0.44,0.42,2.0,71,7.0,20.0,99.566,3.14,0.79,red
10.2,0.44,0.58,4.1,92,11.0,24.0,99.745,3.29,0.99,red
8.3,0.28,0.48,2.1,93,6.0,12.0,99.408,3.26,0.62,red
8.9,0.12,0.45,1.8,75,10.0,21.0,99.552,3.41,0.76,red
8.9,0.12,0.45,1.8,75,10.0,21.0,99.552,3.41,0.76,red
8.9,0.12,0.45,1.8,75,10.0,21.0,99.552,3.41,0.76,red
8.3,0.28,0.48,2.1,93,6.0,12.0,99.408,3.26,0.62,red
8.2,0.31,0.4,2.2,58,6.0,10.0,99.536,3.31,0.68,red
10.2,0.34,0.48,2.1,52,5.0,9.0,99.458,3.2,0.69,red
7.6,0.43,0.4,2.7,82,6.0,11.0,99.538,3.44,0.54,red
8.5,0.21,0.52,1.9,0.09,9.0,23.0,99.648,3.36,0.67,red
9.0,0.36,0.52,2.1,111,5.0,10.0,99.568,3.31,0.62,red
9.5,0.37,0.52,2.0,88,12.0,51.0,99.613,3.29,0.58,red
6.4,0.57,0.12,2.3,0.12,25.0,36.0,99.519,3.47,0.71,red
8.0,0.59,0.05,2.0,89,12.0,32.0,99.735,3.36,0.61,red
8.5,0.47,0.27,1.9,58,18.0,38.0,99.518,3.16,0.85,red
7.1,0.56,0.14,1.6,78,7.0,18.0,99.592,3.27,0.62,red
6.6,0.57,0.02,2.1,115,6.0,16.0,99.654,3.38,0.69,red
8.8,0.27,0.39,2.0,0.1,20.0,27.0,99.546,3.15,0.69,red
8.5,0.47,0.27,1.9,58,18.0,38.0,99.518,3.16,0.85,red
8.3,0.34,0.4,2.4,65,24.0,48.0,99.554,3.34,0.86,red
9.0,0.38,0.41,2.4,103,6.0,10.0,99.604,3.13,0.58,red
8.5,0.66,0.2,2.1,97,23.0,113.0,99.733,3.13,0.48,red
9.0,0.4,0.43,2.4,68,29.0,46.0,9.943,3.2,0.6,red
6.7,0.56,0.09,2.9,79,7.0,22.0,99.669,3.46,0.61,red
10.4,0.26,0.48,1.9,66,6.0,10.0,99.724,3.33,0.87,red
10.4,0.26,0.48,1.9,66,6.0,10.0,99.724,3.33,0.87,red
10.1,0.38,0.5,2.4,104,6.0,13.0,99.643,3.22,0.65,red
8.5,0.34,0.44,1.7,79,6.0,12.0,99.605,3.52,0.63,red
8.8,0.33,0.41,5.9,73,7.0,13.0,99.658,3.3,0.62,red
7.2,0.41,0.3,2.1,83,35.0,72.0,997,3.44,0.52,red
7.2,0.41,0.3,2.1,83,35.0,72.0,997,3.44,0.52,red
8.4,0.59,0.29,2.6,109,31.0,119.0,99.801,3.15,0.5,red
7.0,0.4,0.32,3.6,61,9.0,29.0,99.416,3.28,0.49,red
12.2,0.45,0.49,1.4,75,3.0,6.0,9.969,3.13,0.63,red
9.1,0.5,0.3,1.9,65,8.0,17.0,99.774,3.32,0.71,red
9.5,0.86,0.26,1.9,79,13.0,28.0,99.712,3.25,0.62,red
7.3,0.52,0.32,2.1,0.07,51.0,70.0,99.418,3.34,0.82,red
9.1,0.5,0.3,1.9,65,8.0,17.0,99.774,3.32,0.71,red
12.2,0.45,0.49,1.4,75,3.0,6.0,9.969,3.13,0.63,red
7.4,0.58,0.0,2.0,64,7.0,11.0,99.562,3.45,0.58,red
9.8,0.34,0.39,1.4,66,3.0,7.0,9.947,3.19,0.55,red
7.1,0.36,0.3,1.6,0.08,35.0,70.0,99.693,3.44,0.5,red
7.7,0.39,0.12,1.7,97,19.0,27.0,99.596,3.16,0.49,red
9.7,295,0.4,1.5,73,14.0,21.0,99.556,3.14,0.51,red
7.7,0.39,0.12,1.7,97,19.0,27.0,99.596,3.16,0.49,red
7.1,0.34,0.28,2.0,82,31.0,68.0,99.694,3.45,0.48,red
6.5,0.4,0.1,2.0,76,30.0,47.0,99.554,3.36,0.48,red
7.1,0.34,0.28,2.0,82,31.0,68.0,99.694,3.45,0.48,red
10.0,0.35,0.45,2.5,92,20.0,88.0,99.918,3.15,0.43,red
7.7,0.6,0.06,2.0,79,19.0,41.0,99.697,3.39,0.62,red
5.6,0.66,0.0,2.2,87,3.0,11.0,99.378,3.71,0.63,red
5.6,0.66,0.0,2.2,87,3.0,11.0,99.378,3.71,0.63,red
8.9,0.84,0.34,1.4,0.05,4.0,10.0,99.554,3.12,0.48,red
6.4,0.69,0.0,1.65,55,7.0,12.0,99.162,3.47,0.53,red
7.5,0.43,0.3,2.2,62,6.0,12.0,99.495,3.44,0.72,red
9.9,0.35,0.38,1.5,58,31.0,47.0,99.676,3.26,0.82,red
9.1,0.29,0.33,02.05,63,13.0,27.0,99.516,3.26,0.84,red
6.8,0.36,0.32,1.8,67,4.0,8.0,9.928,3.36,0.55,red
8.2,0.43,0.29,1.6,81,27.0,45.0,99.603,3.25,0.54,red
6.8,0.36,0.32,1.8,67,4.0,8.0,9.928,3.36,0.55,red
9.1,0.29,0.33,02.05,63,13.0,27.0,99.516,3.26,0.84,red
9.1,0.3,0.34,2.0,64,12.0,25.0,99.516,3.26,0.84,red
8.9,0.35,0.4,3.6,0.11,12.0,24.0,99.549,3.23,0.7,red
9.6,0.5,0.36,2.8,116,26.0,55.0,99.722,3.18,0.68,red
8.9,0.28,0.45,1.7,67,7.0,12.0,99.354,3.25,0.55,red
8.9,0.32,0.31,2.0,88,12.0,19.0,9.957,3.17,0.55,red
7.7,1.005,0.15,2.1,102,11.0,32.0,99.604,3.23,0.48,red
7.5,0.71,0.0,1.6,92,22.0,31.0,99.635,3.38,0.58,red
8.0,0.58,0.16,2.0,0.12,3.0,7.0,99.454,3.22,0.58,red
10.5,0.39,0.46,2.2,75,14.0,27.0,99.598,03.06,0.84,red
8.9,0.38,0.4,2.2,68,12.0,28.0,99.486,3.27,0.75,red
8.0,0.18,0.37,0.9,49,36.0,109.0,99.007,2.89,0.44,red
8.0,0.18,0.37,0.9,49,36.0,109.0,99.007,2.89,0.44,red
7.0,0.5,0.14,1.8,78,10.0,23.0,99.636,3.53,0.61,red
11.3,0.36,0.66,2.4,123,3.0,8.0,99.642,3.2,0.53,red
11.3,0.36,0.66,2.4,123,3.0,8.0,99.642,3.2,0.53,red
7.0,0.51,0.09,2.1,62,4.0,9.0,99.584,3.35,0.54,red
8.2,0.32,0.42,2.3,98,3.0,9.0,99.506,3.27,0.55,red
7.7,0.58,0.01,1.8,88,12.0,18.0,99.568,3.32,0.56,red
8.6,0.83,0.0,2.8,95,17.0,43.0,99.822,3.33,0.6,red
7.9,0.31,0.32,1.9,66,14.0,36.0,99.364,3.41,0.56,red
6.4,795,0.0,2.2,65,28.0,52.0,99.378,3.49,0.52,red
7.2,0.34,0.21,2.5,75,41.0,68.0,99.586,3.37,0.54,red
7.7,0.58,0.01,1.8,88,12.0,18.0,99.568,3.32,0.56,red
7.1,0.59,0.0,2.1,91,9.0,14.0,99.488,3.42,0.55,red
7.3,0.55,0.01,1.8,93,9.0,15.0,99.514,3.35,0.58,red
8.1,0.82,0.0,4.1,95,5.0,14.0,99.854,3.36,0.53,red
7.5,0.57,0.08,2.6,89,14.0,27.0,99.592,3.3,0.59,red
8.9,745,0.18,2.5,77,15.0,48.0,99.739,3.2,0.47,red
10.1,0.37,0.34,2.4,85,5.0,17.0,99.683,3.17,0.65,red
7.6,0.31,0.34,2.5,82,26.0,35.0,99.356,3.22,0.59,red
7.3,0.91,0.1,1.8,74,20.0,56.0,99.672,3.35,0.56,red
8.7,0.41,0.41,6.2,78,25.0,42.0,9.953,3.24,0.77,red
8.9,0.5,0.21,2.2,88,21.0,39.0,99.692,3.33,0.83,red
7.4,965,0.0,2.2,88,16.0,32.0,99.756,3.58,0.67,red
6.9,0.49,0.19,1.7,79,13.0,26.0,99.547,3.38,0.64,red
8.9,0.5,0.21,2.2,88,21.0,39.0,99.692,3.33,0.83,red
9.5,0.39,0.41,8.9,69,18.0,39.0,99.859,3.29,0.81,red
6.4,0.39,0.33,3.3,46,12.0,53.0,99.294,3.36,0.62,red
6.9,0.44,0.0,1.4,0.07,32.0,38.0,99.438,3.32,0.58,red
7.6,0.78,0.0,1.7,76,33.0,45.0,99.612,3.31,0.62,red
7.1,0.43,0.17,1.8,82,27.0,51.0,99.634,3.49,0.64,red
9.3,0.49,0.36,1.7,81,3.0,14.0,99.702,3.27,0.78,red
9.3,0.5,0.36,1.8,84,6.0,17.0,99.704,3.27,0.77,red
7.1,0.43,0.17,1.8,82,27.0,51.0,99.634,3.49,0.64,red
8.5,0.46,0.59,1.4,414,16.0,45.0,99.702,03.03,1.34,red
5.6,605,0.05,2.4,73,19.0,25.0,99.258,3.56,0.55,red
8.3,0.33,0.42,2.3,0.07,9.0,20.0,99.426,3.38,0.77,red
8.2,0.64,0.27,2.0,95,5.0,77.0,99.747,3.13,0.62,red
8.2,0.64,0.27,2.0,95,5.0,77.0,99.747,3.13,0.62,red
8.9,0.48,0.53,4.0,101,3.0,10.0,99.586,3.21,0.59,red
7.6,0.42,0.25,3.9,104,28.0,90.0,99.784,3.15,0.57,red
9.9,0.53,0.57,2.4,93,30.0,52.0,9.971,3.19,0.76,red
8.9,0.48,0.53,4.0,101,3.0,10.0,99.586,3.21,0.59,red
11.6,0.23,0.57,1.8,74,3.0,8.0,9.981,3.14,0.7,red
9.1,0.4,0.5,1.8,71,7.0,16.0,99.462,3.21,0.69,red
8.0,0.38,0.44,1.9,98,6.0,15.0,9.956,3.3,0.64,red
10.2,0.29,0.65,2.4,75,6.0,17.0,99.565,3.22,0.63,red
8.2,0.74,0.09,2.0,67,5.0,10.0,99.418,3.28,0.57,red
7.7,0.61,0.18,2.4,83,6.0,20.0,9.963,3.29,0.6,red
6.6,0.52,0.08,2.4,0.07,13.0,26.0,99.358,3.4,0.72,red
11.1,0.31,0.53,2.2,0.06,3.0,10.0,99.572,03.02,0.83,red
11.1,0.31,0.53,2.2,0.06,3.0,10.0,99.572,03.02,0.83,red
8.0,0.62,0.35,2.8,86,28.0,52.0,997,3.31,0.62,red
9.3,0.33,0.45,1.5,57,19.0,37.0,99.498,3.18,0.89,red
7.5,0.77,0.2,8.1,98,30.0,92.0,99.892,3.2,0.58,red
7.2,0.35,0.26,1.8,83,33.0,75.0,9.968,3.4,0.58,red
8.0,0.62,0.33,2.7,88,16.0,37.0,9.972,3.31,0.58,red
7.5,0.77,0.2,8.1,98,30.0,92.0,99.892,3.2,0.58,red
9.1,0.25,0.34,2.0,71,45.0,67.0,99.769,3.44,0.86,red
9.9,0.32,0.56,2.0,73,3.0,8.0,99.534,3.15,0.73,red
8.6,0.37,0.65,6.4,0.08,3.0,8.0,99.817,3.27,0.58,red
8.6,0.37,0.65,6.4,0.08,3.0,8.0,99.817,3.27,0.58,red
7.9,0.3,0.68,8.3,0.05,37.5,278.0,99.316,03.01,0.51,red
10.3,0.27,0.56,1.4,47,3.0,8.0,99.471,3.16,0.51,red
7.9,0.3,0.68,8.3,0.05,37.5,289.0,99.316,03.01,0.51,red
7.2,0.38,0.3,1.8,73,31.0,70.0,99.685,3.42,0.59,red
8.7,0.42,0.45,2.4,72,32.0,59.0,99.617,3.33,0.77,red
7.2,0.38,0.3,1.8,73,31.0,70.0,99.685,3.42,0.59,red
6.8,0.48,0.08,1.8,74,40.0,64.0,99.529,3.12,0.49,red
8.5,0.34,0.4,4.7,55,3.0,9.0,99.738,3.38,0.66,red
7.9,0.19,0.42,1.6,57,18.0,30.0,994,3.29,0.69,red
11.6,0.41,0.54,1.5,95,22.0,41.0,99.735,03.02,0.76,red
11.6,0.41,0.54,1.5,95,22.0,41.0,99.735,03.02,0.76,red
10.0,0.26,0.54,1.9,83,42.0,74.0,99.451,2.98,0.63,red
7.9,0.34,0.42,2.0,86,8.0,19.0,99.546,3.35,0.6,red
7.0,0.54,0.09,2.0,81,10.0,16.0,99.479,3.43,0.59,red
9.2,0.31,0.36,2.2,79,11.0,31.0,99.615,3.33,0.86,red
6.6,725,0.09,5.5,117,9.0,17.0,99.655,3.35,0.49,red
9.4,0.4,0.47,2.5,87,6.0,20.0,99.772,3.15,0.5,red
6.6,725,0.09,5.5,117,9.0,17.0,99.655,3.35,0.49,red
8.6,0.52,0.38,1.5,96,5.0,18.0,99.666,3.2,0.52,red
8.0,0.31,0.45,2.1,216,5.0,16.0,99.358,3.15,0.81,red
8.6,0.52,0.38,1.5,96,5.0,18.0,99.666,3.2,0.52,red
8.4,0.34,0.42,2.1,72,23.0,36.0,99.392,3.11,0.78,red
7.4,0.49,0.27,2.1,71,14.0,25.0,99.388,3.35,0.63,red
6.1,0.48,0.09,1.7,78,18.0,30.0,99.402,3.45,0.54,red
7.4,0.49,0.27,2.1,71,14.0,25.0,99.388,3.35,0.63,red
8.0,0.48,0.34,2.2,73,16.0,25.0,9.936,3.28,0.66,red
6.3,0.57,0.28,2.1,48,13.0,49.0,99.374,3.41,0.6,red
8.2,0.23,0.42,1.9,69,9.0,17.0,99.376,3.21,0.54,red
9.1,0.3,0.41,2.0,68,10.0,24.0,99.523,3.27,0.85,red
8.1,0.78,0.1,3.3,0.09,4.0,13.0,99.855,3.36,0.49,red
10.8,0.47,0.43,2.1,171,27.0,66.0,9.982,3.17,0.76,red
8.3,0.53,0.0,1.4,0.07,6.0,14.0,99.593,3.25,0.64,red
5.4,0.42,0.27,2.0,92,23.0,55.0,99.471,3.78,0.64,red
7.9,0.33,0.41,1.5,56,6.0,35.0,99.396,3.29,0.71,red
8.9,0.24,0.39,1.6,74,3.0,10.0,99.698,3.12,0.59,red
5.0,0.4,0.5,4.3,46,29.0,80.0,9.902,3.49,0.66,red
7.0,0.69,0.07,2.5,91,15.0,21.0,99.572,3.38,0.6,red
7.0,0.69,0.07,2.5,91,15.0,21.0,99.572,3.38,0.6,red
7.0,0.69,0.07,2.5,91,15.0,21.0,99.572,3.38,0.6,red
7.1,0.39,0.12,2.1,65,14.0,24.0,99.252,3.3,0.53,red
5.6,0.66,0.0,2.5,66,7.0,15.0,99.256,3.52,0.58,red
7.9,0.54,0.34,2.5,76,8.0,17.0,99.235,3.2,0.72,red
6.6,0.5,0.0,1.8,62,21.0,28.0,99.352,3.44,0.55,red
6.3,0.47,0.0,1.4,55,27.0,33.0,9.922,3.45,0.48,red
10.7,0.4,0.37,1.9,81,17.0,29.0,99.674,3.12,0.65,red
6.5,0.58,0.0,2.2,96,3.0,13.0,99.557,3.62,0.62,red
8.8,0.24,0.35,1.7,55,13.0,27.0,99.394,3.14,0.59,red
5.8,0.29,0.26,1.7,63,3.0,11.0,9.915,3.39,0.54,red
6.3,0.76,0.0,2.9,72,26.0,52.0,99.379,3.51,0.6,red
10.0,0.43,0.33,2.7,95,28.0,89.0,9.984,3.22,0.68,red
10.5,0.43,0.35,3.3,92,24.0,70.0,99.798,3.21,0.69,red
9.1,0.6,0.0,1.9,58,5.0,10.0,9.977,3.18,0.63,red
5.9,0.19,0.21,1.7,45,57.0,135.0,99.341,3.32,0.44,red
7.4,0.36,0.34,1.8,75,18.0,38.0,9.933,3.38,0.88,red
7.2,0.48,0.07,5.5,89,10.0,18.0,99.684,3.37,0.68,red
8.5,0.28,0.35,1.7,61,6.0,15.0,99.524,3.3,0.74,red
8.0,0.25,0.43,1.7,67,22.0,50.0,9.946,3.38,0.6,red
10.4,0.52,0.45,2.0,0.08,6.0,13.0,99.774,3.22,0.76,red
10.4,0.52,0.45,2.0,0.08,6.0,13.0,99.774,3.22,0.76,red
7.5,0.41,0.15,3.7,104,29.0,94.0,99.786,3.14,0.58,red
8.2,0.51,0.24,2.0,79,16.0,86.0,99.764,3.34,0.64,red
7.3,0.4,0.3,1.7,0.08,33.0,79.0,9.969,3.41,0.65,red
8.2,0.38,0.32,2.5,0.08,24.0,71.0,99.624,3.27,0.85,red
6.9,0.45,0.11,2.4,43,6.0,12.0,99.354,3.3,0.65,red
7.0,0.22,0.3,1.8,65,16.0,20.0,99.672,3.61,0.82,red
7.3,0.32,0.23,2.3,66,35.0,70.0,99.588,3.43,0.62,red
8.2,0.2,0.43,2.5,76,31.0,51.0,99.672,3.53,0.81,red
7.8,0.5,0.12,1.8,178,6.0,21.0,996,3.28,0.87,red
10.0,0.41,0.45,6.2,71,6.0,14.0,99.702,3.21,0.49,red
7.8,0.39,0.42,2.0,86,9.0,21.0,99.526,3.39,0.66,red
10.0,0.35,0.47,2.0,61,6.0,11.0,99.585,3.23,0.52,red
8.2,0.33,0.32,2.8,67,4.0,12.0,99.473,3.3,0.76,red
6.1,0.58,0.23,2.5,44,16.0,70.0,99.352,3.46,0.65,red
8.3,0.6,0.25,2.2,118,9.0,38.0,99.616,3.15,0.53,red
9.6,0.42,0.35,2.1,83,17.0,38.0,99.622,3.23,0.66,red
6.6,0.58,0.0,2.2,0.1,50.0,63.0,99.544,3.59,0.68,red
8.3,0.6,0.25,2.2,118,9.0,38.0,99.616,3.15,0.53,red
8.5,0.18,0.51,1.75,71,45.0,88.0,99.524,3.33,0.76,red
5.1,0.51,0.18,2.1,42,16.0,101.0,9.924,3.46,0.87,red
6.7,0.41,0.43,2.8,76,22.0,54.0,99.572,3.42,1.16,red
10.2,0.41,0.43,2.2,0.11,11.0,37.0,99.728,3.16,0.67,red
10.6,0.36,0.57,2.3,87,6.0,20.0,99.676,3.14,0.72,red
8.8,0.45,0.43,1.4,76,12.0,21.0,99.551,3.21,0.75,red
8.5,0.32,0.42,2.3,75,12.0,19.0,99.434,3.14,0.71,red
9.0,785,0.24,1.7,78,10.0,21.0,99.692,3.29,0.67,red
9.0,785,0.24,1.7,78,10.0,21.0,99.692,3.29,0.67,red
8.5,0.44,0.5,1.9,369,15.0,38.0,99.634,03.01,1.1,red
9.9,0.54,0.26,2.0,111,7.0,60.0,99.709,2.94,0.98,red
8.2,0.33,0.39,2.5,74,29.0,48.0,99.528,3.32,0.88,red
6.5,0.34,0.27,2.8,67,8.0,44.0,99.384,3.21,0.56,red
7.6,0.5,0.29,2.3,86,5.0,14.0,99.502,3.32,0.62,red
9.2,0.36,0.34,1.6,62,5.0,12.0,99.667,3.2,0.67,red
7.1,0.59,0.0,2.2,78,26.0,44.0,99.522,3.42,0.68,red
9.7,0.42,0.46,2.1,74,5.0,16.0,99.649,3.27,0.74,red
7.6,0.36,0.31,1.7,79,26.0,65.0,99.716,3.46,0.62,red
7.6,0.36,0.31,1.7,79,26.0,65.0,99.716,3.46,0.62,red
6.5,0.61,0.0,2.2,95,48.0,59.0,99.541,3.61,0.7,red
6.5,0.88,0.03,5.6,79,23.0,47.0,99.572,3.58,0.5,red
7.1,0.66,0.0,2.4,52,6.0,11.0,99.318,3.35,0.66,red
5.6,915,0.0,2.1,41,17.0,78.0,99.346,3.68,0.73,red
8.2,0.35,0.33,2.4,76,11.0,47.0,99.599,3.27,0.81,red
8.2,0.35,0.33,2.4,76,11.0,47.0,99.599,3.27,0.81,red
9.8,0.39,0.43,1.65,68,5.0,11.0,99.478,3.19,0.46,red
10.2,0.4,0.4,2.5,68,41.0,54.0,99.754,3.38,0.86,red
6.8,0.66,0.07,1.6,0.07,16.0,61.0,99.572,3.29,0.6,red
6.7,0.64,0.23,2.1,0.08,11.0,119.0,99.538,3.36,0.7,red
7.0,0.43,0.3,2.0,85,6.0,39.0,99.346,3.33,0.46,red
6.6,0.8,0.03,7.8,79,6.0,12.0,9.963,3.52,0.5,red
7.0,0.43,0.3,2.0,85,6.0,39.0,99.346,3.33,0.46,red
6.7,0.64,0.23,2.1,0.08,11.0,119.0,99.538,3.36,0.7,red
8.8,955,0.05,1.8,75,5.0,19.0,99.616,3.3,0.44,red
9.1,0.4,0.57,4.6,0.08,6.0,20.0,99.652,3.28,0.57,red
6.5,885,0.0,2.3,166,6.0,12.0,99.551,3.56,0.51,red
7.2,0.25,0.37,2.5,63,11.0,41.0,99.439,3.52,0.8,red
6.4,885,0.0,2.3,166,6.0,12.0,99.551,3.56,0.51,red
7.0,745,0.12,1.8,114,15.0,64.0,99.588,3.22,0.59,red
6.2,0.43,0.22,1.8,78,21.0,56.0,99.633,3.52,0.6,red
7.9,0.58,0.23,2.3,76,23.0,94.0,99.686,3.21,0.58,red
7.7,0.57,0.21,1.5,69,4.0,9.0,99.458,3.16,0.54,red
7.7,0.26,0.26,2.0,52,19.0,77.0,9.951,3.15,0.79,red
7.9,0.58,0.23,2.3,76,23.0,94.0,99.686,3.21,0.58,red
7.7,0.57,0.21,1.5,69,4.0,9.0,99.458,3.16,0.54,red
7.9,0.34,0.36,1.9,65,5.0,10.0,99.419,3.27,0.54,red
8.6,0.42,0.39,1.8,68,6.0,12.0,99.516,3.35,0.69,red
9.9,0.74,0.19,5.8,111,33.0,76.0,99.878,3.14,0.55,red
7.2,0.36,0.46,2.1,74,24.0,44.0,99.534,3.4,0.85,red
7.2,0.36,0.46,2.1,74,24.0,44.0,99.534,3.4,0.85,red
7.2,0.36,0.46,2.1,74,24.0,44.0,99.534,3.4,0.85,red
9.9,0.72,0.55,1.7,136,24.0,52.0,99.752,3.35,0.94,red
7.2,0.36,0.46,2.1,74,24.0,44.0,99.534,3.4,0.85,red
6.2,0.39,0.43,2.0,71,14.0,24.0,99.428,3.45,0.87,red
6.8,0.65,0.02,2.1,78,8.0,15.0,99.498,3.35,0.62,red
6.6,0.44,0.15,2.1,76,22.0,53.0,9.957,3.32,0.62,red
6.8,0.65,0.02,2.1,78,8.0,15.0,99.498,3.35,0.62,red
9.6,0.38,0.42,1.9,71,5.0,13.0,99.659,3.15,0.75,red
10.2,0.33,0.46,1.9,81,6.0,9.0,99.628,3.1,0.48,red
8.8,0.27,0.46,2.1,95,20.0,29.0,99.488,3.26,0.56,red
7.9,0.57,0.31,2.0,79,10.0,79.0,99.677,3.29,0.69,red
8.2,0.34,0.37,1.9,57,43.0,74.0,99.408,3.23,0.81,red
8.2,0.4,0.31,1.9,82,8.0,24.0,996,3.24,0.69,red
9.0,0.39,0.4,1.3,44,25.0,50.0,99.478,3.2,0.83,red
10.9,0.32,0.52,1.8,132,17.0,44.0,99.734,3.28,0.77,red
10.9,0.32,0.52,1.8,132,17.0,44.0,99.734,3.28,0.77,red
8.1,0.53,0.22,2.2,78,33.0,89.0,99.678,3.26,0.46,red
10.5,0.36,0.47,2.2,74,9.0,23.0,99.638,3.23,0.76,red
12.6,0.39,0.49,2.5,0.08,8.0,20.0,9.992,03.07,0.82,red
9.2,0.46,0.23,2.6,91,18.0,77.0,99.922,3.15,0.51,red
7.5,0.58,0.03,4.1,0.08,27.0,46.0,99.592,03.02,0.47,red
9.0,0.58,0.25,2.0,104,8.0,21.0,99.769,3.27,0.72,red
5.1,0.42,0.0,1.8,44,18.0,88.0,99.157,3.68,0.73,red
7.6,0.43,0.29,2.1,75,19.0,66.0,99.718,3.4,0.64,red
7.7,0.18,0.34,2.7,66,15.0,58.0,9.947,3.37,0.78,red
7.8,815,0.01,2.6,74,48.0,90.0,99.621,3.38,0.62,red
7.6,0.43,0.29,2.1,75,19.0,66.0,99.718,3.4,0.64,red
10.2,0.23,0.37,2.2,57,14.0,36.0,99.614,3.23,0.49,red
7.1,0.75,0.01,2.2,59,11.0,18.0,99.242,3.39,0.4,red
6.0,0.33,0.32,12.9,54,6.0,113.0,99.572,3.3,0.56,red
7.8,0.55,0.0,1.7,0.07,7.0,17.0,99.659,3.26,0.64,red
7.1,0.75,0.01,2.2,59,11.0,18.0,99.242,3.39,0.4,red
8.1,0.73,0.0,2.5,81,12.0,24.0,99.798,3.38,0.46,red
6.5,0.67,0.0,4.3,57,11.0,20.0,99.488,3.45,0.56,red
7.5,0.61,0.2,1.7,76,36.0,60.0,99.494,3.1,0.4,red
9.8,0.37,0.39,2.5,79,28.0,65.0,99.729,3.16,0.59,red
9.0,0.4,0.41,2.0,58,15.0,40.0,99.414,3.22,0.6,red
8.3,0.56,0.22,2.4,82,10.0,86.0,9.983,3.37,0.62,red
5.9,0.29,0.25,13.4,67,72.0,160.0,99.721,3.33,0.54,red
7.4,0.55,0.19,1.8,82,15.0,34.0,99.655,3.49,0.68,red
7.4,0.74,0.07,1.7,86,15.0,48.0,99.502,3.12,0.48,red
7.4,0.55,0.19,1.8,82,15.0,34.0,99.655,3.49,0.68,red
6.9,0.41,0.33,2.2,81,22.0,36.0,9.949,3.41,0.75,red
7.1,0.6,0.01,2.3,79,24.0,37.0,99.514,3.4,0.61,red
7.1,0.6,0.01,2.3,79,24.0,37.0,99.514,3.4,0.61,red
7.5,0.58,0.14,2.2,77,27.0,60.0,9.963,3.28,0.59,red
7.1,0.72,0.0,1.8,123,6.0,14.0,99.627,3.45,0.58,red
7.9,0.66,0.0,1.4,96,6.0,13.0,99.569,3.43,0.58,red
7.8,0.7,0.06,1.9,79,20.0,35.0,99.628,3.4,0.69,red
6.1,0.64,0.02,2.4,69,26.0,46.0,99.358,3.47,0.45,red
7.5,0.59,0.22,1.8,82,43.0,60.0,99.499,3.1,0.42,red
7.0,0.58,0.28,4.8,85,12.0,69.0,99.633,3.32,0.7,red
6.8,0.64,0.0,2.7,123,15.0,33.0,99.538,3.44,0.63,red
6.8,0.64,0.0,2.7,123,15.0,33.0,99.538,3.44,0.63,red
8.6,635,0.68,1.8,403,19.0,56.0,99.632,03.02,1.15,red
6.3,01.02,0.0,2.0,83,17.0,24.0,99.437,3.59,0.55,red
9.8,0.45,0.38,2.5,81,34.0,66.0,99.726,3.15,0.58,red
8.2,0.78,0.0,2.2,89,13.0,26.0,9.978,3.37,0.46,red
8.5,0.37,0.32,1.8,66,26.0,51.0,99.456,3.38,0.72,red
7.2,0.57,0.05,2.3,81,16.0,36.0,99.564,3.38,0.6,red
7.2,0.57,0.05,2.3,81,16.0,36.0,99.564,3.38,0.6,red
10.4,0.43,0.5,2.3,68,13.0,19.0,996,3.1,0.87,red
6.9,0.41,0.31,2.0,79,21.0,51.0,99.668,3.47,0.55,red
5.5,0.49,0.03,1.8,44,28.0,87.0,9.908,3.5,0.82,red
5.0,0.38,0.01,1.6,48,26.0,60.0,99.084,3.7,0.75,red
7.3,0.44,0.2,1.6,49,24.0,64.0,9.935,3.38,0.57,red
5.9,0.46,0.0,1.9,77,25.0,44.0,99.385,3.5,0.53,red
7.5,0.58,0.2,2.0,73,34.0,44.0,99.494,3.1,0.43,red
7.8,0.58,0.13,2.1,102,17.0,36.0,9.944,3.24,0.53,red
8.0,715,0.22,2.3,75,13.0,81.0,99.688,3.24,0.54,red
8.5,0.4,0.4,6.3,0.05,3.0,10.0,99.566,3.28,0.56,red
7.0,0.69,0.0,1.9,114,3.0,10.0,99.636,3.35,0.6,red
8.0,715,0.22,2.3,75,13.0,81.0,99.688,3.24,0.54,red
9.8,0.3,0.39,1.7,62,3.0,9.0,9.948,3.14,0.57,red
